LGA_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
LGA21270,14,35,47,8,4,18,9,29,49,4,78,86,41,247,287,42,101,138,161,68,224,141,93,237,155,80,236,149,50,197,91,34,126,115,22,141,186,28,212,114,6,117,75,3,78,42,0,45,92,12,100,112,8,119,34,62,98,1606,953,2555
LGA21370,124,140,261,66,73,140,46,168,214,82,386,466,260,1020,1276,269,581,840,900,355,1256,696,426,1122,818,428,1249,925,248,1170,634,200,836,664,130,794,1345,179,1525,892,22,913,606,39,643,331,9,333,692,58,749,721,40,761,207,310,516,10273,4812,15079
LGA21450,288,278,561,107,92,196,111,198,306,131,454,581,367,1269,1639,476,841,1316,1447,553,2003,1408,812,2222,1872,962,2838,2313,707,3021,1891,602,2493,2265,434,2696,4877,551,5429,3900,84,3982,2667,124,2794,1567,28,1595,3214,149,3363,1760,102,1866,412,307,720,31061,8547,39607
LGA21610,938,862,1800,278,214,493,374,508,877,403,1126,1525,1175,2937,4114,1453,1715,3166,4159,1260,5418,4348,1936,6284,5607,2165,7772,7284,1789,9076,6063,1422,7485,6492,991,7480,14580,1371,15953,10966,277,11240,8010,301,8313,4865,125,4988,9720,402,10124,5186,320,5510,1042,694,1743,92945,20417,113365
LGA21670,36,76,111,24,32,55,21,109,127,34,207,244,109,639,749,115,293,404,514,157,668,347,179,530,316,171,483,356,93,446,206,59,268,248,34,280,323,43,361,205,5,213,129,10,138,65,0,65,121,11,137,205,13,218,104,163,261,3483,2294,5774
LGA21750,65,107,175,29,56,78,29,123,149,40,228,266,106,614,718,135,346,477,416,239,655,411,328,740,452,306,760,528,183,710,373,115,487,422,95,515,800,139,937,497,16,513,343,36,379,181,4,184,397,51,450,373,44,411,100,119,221,5690,3153,8848
LGA21830,59,59,115,28,31,57,18,72,83,18,166,178,115,428,545,81,222,308,341,173,513,315,202,517,342,199,542,365,116,483,277,78,355,266,66,337,520,74,595,355,10,368,267,16,283,136,0,138,328,26,357,307,18,321,116,125,236,4251,2089,6343
LGA21890,416,780,1193,178,267,441,179,657,833,206,1385,1597,580,2896,3479,579,1599,2176,1868,1241,3108,1618,1498,3117,1827,1780,3607,2213,1778,3991,1859,1655,3518,1963,1342,3304,4270,2312,6584,3621,428,4055,3336,639,3974,2453,228,2683,7757,794,8552,1764,634,2395,367,508,876,37065,22424,59488
LGA22110,176,215,395,81,106,184,82,249,326,86,519,606,303,1501,1813,366,900,1265,1427,570,2000,1139,607,1743,1204,509,1712,1312,341,1652,781,243,1027,869,165,1030,1483,202,1683,945,24,967,613,44,660,339,6,347,676,89,763,892,73,968,284,348,642,13063,6709,19771
LGA22170,341,537,878,110,183,294,161,432,590,153,990,1137,562,2669,3237,668,1771,2438,1891,1158,3050,1898,1533,3428,2321,1580,3900,2689,1251,3938,2195,1038,3227,2350,729,3078,5322,1036,6357,4265,120,4386,3183,206,3388,2017,42,2057,4122,233,4358,2022,209,2230,471,568,1047,36737,16282,53019
LGA22250,39,50,95,15,20,38,12,54,69,20,110,133,89,402,490,60,190,249,304,110,415,254,152,405,251,116,361,282,83,363,169,55,222,181,33,215,330,41,374,211,0,216,120,6,120,62,0,64,139,23,159,165,9,176,91,105,198,2806,1551,4359
